Time,mAmpere,mAmpereInt,Analog_A0,ValueA0Virtual,mAmpere3Raw,mAmpere4
2023-01-22 17:44:18,,0.0,,538.0,,
2023-01-22 17:44:17,,0.0,,540.0,,
2023-01-22 17:44:16,,,,538.0,,
2023-01-22 17:44:15,,0.0,,,,
2023-01-22 17:44:14,,0.0,,540.0,,
2023-01-22 17:44:13,,0.0,,540.0,,
2023-01-22 17:44:11,,0.0,,540.0,,
2023-01-22 17:44:10,,0.0,,540.0,,
2023-01-22 17:44:09,,0.0,,540.0,,
2023-01-22 17:44:07,,0.0,,538.0,,
2023-01-22 17:44:06,,0.0,,540.0,,
2023-01-22 17:44:04,,0.0,,540.0,,
2023-01-22 17:44:03,,0.0,,538.0,,
2023-01-22 17:44:01,,0.0,,540.0,,
2023-01-22 17:44:00,,0.0,,540.0,,
2023-01-22 17:43:58,,0.0,,540.0,,
2023-01-22 17:43:57,,0.0,,540.0,,
2023-01-22 17:43:55,,0.0,,540.0,,
2023-01-22 17:43:54,,0.0,,540.0,,
2023-01-22 17:43:53,,,,540.0,,
2023-01-22 17:43:52,,0.0,,,,
2023-01-22 17:43:51,,0.0,,538.0,,
2023-01-22 17:43:49,,0.0,,540.0,,
2023-01-22 17:43:48,,0.0,,538.0,,
2023-01-22 17:43:46,,0.0,,538.0,,
2023-01-22 17:43:45,,0.0,,540.0,,
2023-01-22 17:43:43,,0.0,,540.0,,
2023-01-22 17:43:42,,0.0,,540.0,,
2023-01-22 17:43:40,,0.0,,540.0,,
2023-01-22 17:43:39,,0.0,,540.0,,
2023-01-22 17:43:38,,0.0,,538.0,,
2023-01-22 17:43:36,,0.0,,540.0,,
2023-01-22 17:43:35,,0.0,,540.0,,
2023-01-22 17:43:34,,,,540.0,,
2023-01-22 17:43:33,,0.0,,,,
2023-01-22 17:43:32,,0.0,,538.0,,
2023-01-22 17:43:31,,0.0,,540.0,,
2023-01-22 17:43:30,,0.0,,540.0,,
2023-01-22 17:43:28,,0.0,,538.0,,
2023-01-22 17:43:27,,0.0,,540.0,,
2023-01-22 17:43:25,,0.0,,540.0,,
2023-01-22 17:43:24,,0.0,,540.0,,
2023-01-22 17:43:22,,0.0,,540.0,,
2023-01-22 17:43:21,,0.0,,540.0,,
2023-01-22 17:43:19,,0.0,,540.0,,
